SYMPTOMS,MEDICINE_NAMES,DOSAGE
bladder_discomfort,phenazopyridine,"one week,twice a day,after meal"
foul_smell_of urine,alkasol,"two weeks,twice a day,after meal"
continuous_feel_of_urine,mirabegron,"one week,twice a day,after meal"
passage_of_gases,pepto_bismol,"10 days,twice a day,after meal"
internal_itching,nitrotap,"one week,twice a day,after meal"
toxic_look_(typhos),NA,NA
depression,NA,NA
irritability,darolac_sachet,"one week,twice a day,after meal"
muscle_pain,robaxin,"one week,twice a day,after meal"
altered_sensorium,B-52,"one week,twice a day,after meal"
red_spots_over_body,cortizone,"one week,twice a day,after meal"
belly_pain,NA,NA
abnormal_menstruation,medroxyprogesterone,"one week,twice a day,after meal"
dischromic _patches,buprenorphine,"three weeks,twice a day,after meal"
watering_from_eyes,itone_eyedrops,"two weeks,twice a day,after meal"
increased_appetite,Livogen-Z,"four weeks,twice a day,after meal"
polyuria,oxytrol,"one week,twice a day,after meal"
family_history,NA,NA
mucoid_sputum,mucinex,"one week,twice a day,after meal"
rusty_sputum,erythromycin,"one week,twice a day,after meal"
lack_of_concentration,adderall,"two weeks,twice a day,after meal"
visual_disturbances,optical_aids,"two weeks,twice a day,after meal"
receiving_blood_transfusion,acetaminophen,"one week,twice a day,after meal"
receiving_unsterile_injections,consult_doctor,as per needed
coma,consult_doctor,as per needed
stomach_bleeding,proton_pump_inhibitor,"one week,twice a day,after meal"
distention_of_abdomen,pamabrom,"two weeks,twice a day,after meal"
history_of_alcohol_consumption,antabuse,"one week,twice a day,after meal"
fluid_overload,lasix,"three weeks,twice a day,after meal"
blood_in_sputum,tamiflu,"one week,twice a day,after meal"
prominent_veins_on_calves,NA,NA
palpitations,inderal,"three weeks,twice a day,after meal"
painful_walking,bufferin,"two weeks,twice a day,after meal"
pus_filled_pimples,benxop_5,"two weeks,twice a day,after meal"
 blackheads,zitcare_s_gel,"four weeks,twice a day,external use only"
 scurring,derma_e_scar_gel,"one week,twice a day,external use only"
 skin_peeling,ibuprofen,"one week,twice a day,after meal"
 silver_like_dusting,NA,NA
 small_dents_in_nails,calcipotriol,"four weeks,twice a day,after meal"
 inflammatory_nails,clindamycin,"one week,twice a day,after meal"
 blister,ICE_gel,"10 days,twice a day,external use only"
 red_sore_around_nose,erythromycin_gel,"two weeks,twice a day,external use only"
 yellow_crust_ooze,silverex_gel,"one week,twice a day,external use only"
